Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Hyperlink,Source,Publicatie_unique,Article_ID
Augustus,2019-01-05,International,AD/Algemeen Dagblad,News,1518,"Magazine;Blz. 38, 39, 40, 41",1518,"Netherlands, Kingdom of the",CATHÉRINE VAN DER LINDEN,,,,Augustus,"Augustus De maand waarin we aandacht besteden aan linkshandigen, watermeloenen, katten, vleermuizen en het lot van het grootste landzoogdier ter wereld. Illustratie Vijselaar en Sixma In de begindagen van het internet, in de jaren 80, belden mensen in via een analoge telefoon en een internetmodem om online te gaan. De Britse wetenschapper Tim Berners-Lee ontwikkelde in 1990 samen met de Belg Robert Cailliau het wereldwijde web, een internationaal netwerk van computers waarop informatie te vinden is. De eerste webpagina is nog steeds te zien op http://info.cern.ch De behoefte om bier te brouwen kan weleens hebben geleid tot de eerste nederzettingen. Archeologen vermoeden dat het de vroegste landbouwers niet om brood te doen was, maar om gerstenat. Al in een van de oudste literaire werken, het heldendicht van koning Gilgamesj die leefde rond 2620 voor Christus, wordt de held stomdronken na een glas te veel. Geef een watermeloen voldoende water, mest, voeding en zonlicht en hij neemt gigantische proporties aan. Zo kweekte de Amerikaan Chris Kent in 2013 het grootste exemplaar ter wereld: een joekel van 159 kilo. In de Japanse streek Zentsuji telen de boeren vooral kleine, vierkante meloenen. Die zijn makkelijker op te stapelen.",AD/Algemeen Dagblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V47-XNB1-JC8X-61WK-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,411
Dit statement werkt alleen maar averechts',2019-01-08,International,AD/Algemeen Dagblad,News,664,Nieuwsdienst;Blz. 4,664,"Netherlands, Kingdom of the",NIELS KLAASSEN,,,,Dit statement werkt alleen maar averechts',"Dit statement werkt alleen maar averechts' Met de Nederlandse Nashville-verklaring gooien strenggelovige christenen geen steen, maar een compleet rotsblok in de vijver. De ophef over hun homo- en transgenderkritiek is groot. Wat drijft deze orthodoxe protestanten? Wat bereiken ze? ,,Het is de angst dat jongeren te tolerant worden."" nashville-verklaring controverse De woede is groot, van politiek links tot rechts, van gelovigen tot atheïsten: de Nederlandse Nashville-verklaring deugt niet, vinden critici. De uit Amerika overgewaaide lijst met 'geboden' jaagt gelovige homo's zo ongeveer terug in de kast, ontkent seksuele geaardheid en het bestaan van transgenders en werkt polariserend, klinkt het binnen én buiten de kerk. ,,Dit is een stap erger dan we tot nu toe hoorden van de strenggelovigen"", zegt theoloog Alain Verheij. ,,Artikel 7 van het manifest suggereert dat je niet homo of transgender mag zijn omdat het een kéuze is. Alsof geaardheid niet bestaat!"" Mede-initiatiefnemer van de Nederlandse Nashville-versie is voormalig predikant Piet de Vries (62) van de Hersteld Hervormde Gemeente Boven-Hardinxveld. Samen met evangelist Arjan Baan nam hij dit najaar het initiatief tot verspreiding van het stuk dat in de zomer van 2017 opgesteld werd door een van de grootste protestantse kerkgenootschappen in de VS, bedoeld als antwoord op 'de seculiere tijdgeest van de 21ste eeuw'. ,,Seksualiteit is bedoeld voor man en vrouw die elkaar een leven lang trouw blijven"", zegt De Vries. ,,Maar die opvatting staat onder zware druk door aspecten als vreemdgaan, echtscheidingen, seks voor het huwelijk en homoseksuele relaties.""",AD/Algemeen Dagblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V4W-R171-DYRY-X2JS-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,412
Nashville-verklaring Wat staat erin?,2019-01-08,International,NRC Handelsblad,News,151,VOORPAGINA;Blz. 1,151,"Netherlands, Kingdom of the",,,,,Nashville-verklaring Wat staat erin?,"Nashville-verklaring Wat staat erin? De Nashvilleverklaring over ,,bijbelse seksualiteit"" constateert dat het ,,inmiddels gemeengoed"" is geworden je geslacht niet te zien als deel van ,,Gods mooie plan"" maar als uiting van je ,,eigen autonome voorkeur"". Dit leidt tot ,,kortzichtige alternatieven die vroeg of laat het menselijk leven ruïneren en God onteren"".",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V4Y-JW31-DYMH-R48H-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2809
Nu is het alsof we er niet mogen zijn',2019-01-10,International,NRC,News,939,BINNENLAND;Blz. 8,939,"Netherlands, Kingdom of the",Arjen Schreuder,,,,Nu is het alsof we er niet mogen zijn',"Nu is het alsof we er niet mogen zijn' ABSTRACT Nashville-verklaring De ophef is groot over wat orthodoxe christenen vinden van homoseksualiteit. Wat vinden christelijke homo's zelf? Een golf van afkeuring heeft het land overspoeld na de Nashville-verklaring over ,,bijbelse seksualiteit"" die stelt dat het in strijd is met Gods ,,heilige bedoelingen"" om jezelf bewust te zien als persoon met een homoseksuele of transgenderidentiteit. De meeste homo's en transgenders hebben de verklaring al dan niet woedend naast zich neer kunnen leggen. Lastiger is dat voor diep gelovige homo's en transgenders die uit dezelfde orthodoxe protestantse kerk komen als de ondertekenaars. ,,Wij delen de opvatting dat het huwelijk is voorbehouden aan de unieke relatie tussen man en vrouw"", zegt Herman van Wijngaarden (55), medewerker van Hart van Homo's, een organisatie die gelovige homo's ondersteunt. ,,Ons is gevraagd de verklaring te ondertekenen. Voor een deel herkennen wij ons in de tekst. Maar de passages waarin wordt ontkend dat je jezelf homo mag noemen en wordt gesuggereerd dat je er van kunt genezen, markeren een verschil binnen de orthodoxie. Ik werd er verdrietig van. Wij zeggen: ja, je mag homo zijn en nee, je kunt niet genezen.""",NRC.NEXT,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V59-WBC1-DYMH-R282-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2813
’Iedereen is kind van God’,2019-01-09,International,De Telegraaf,News,566,WATUZEGT;Blz. 18,566,"Netherlands, Kingdom of the",,,,,’Iedereen is kind van God’,"’Iedereen is kind van God’ Deelnemers wijzen Nashville-pamflet fel van de hand De zogeheten Nashville-verklaring, die door 250 protestants-christelijke  predikanten en SGP-voorman Kees van der Staaij is ondertekend, wordt door een  kleine meerderheid (55 procent) van de deelnemers aan de Stelling van de Dag  afgewezen.",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V54-3341-JCT4-T55K-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2591
Zeldzame glimlach,2019-01-10,International,De Telegraaf,News,760,RADIOTV;Blz. 18,760,"Netherlands, Kingdom of the",Joost van Mierlo,,,,Zeldzame glimlach,"Zeldzame glimlach ’Silent witness’ vindt zichzelf opnieuw uit in seizoen buiten Londen door Joost van Mierlo Emilia Fox is tevreden. De actrice die de patholoog anatoom Nikki Alexander  speelt in de serie  Silent witness mag eindelijk weer eens lachen. Ze  moet dat soort momenten koesteren. Het is welgeteld de tweede keer dat het  voorkomt in het nu veertiende jaar dat ze meespeelt in de serie. De kans dat er meer zal worden gelachen is trouwens aanzienlijk. Nikki denkt  namelijk dat ze zwanger is. Meer kan er niet worden gezegd tijdens deze  bijeenkomst voorafgaand aan het 22ste seizoen van de successerie. Ze laat haar  partner Michael Landes, gespeeld door de Amerikaanse acteur Matt Garcia, weten  dat ze mogelijk zwanger is. Garcia licht een tip van de sluier op: „He, ik ben  een goede baby-maker.”",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V5B-29R1-F086-H0RX-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2592
Ophef over steun SGP-leider voor verklaring tegen homoseksualiteit,2019-01-07,International,de Volkskrant,News,419,Ten Eerste;Blz. 2,419,"Netherlands, Kingdom of the",MARC VAN DEN EERENBEEMT,,,,Ophef over steun SGP-leider voor verklaring tegen homoseksualiteit,"Ophef over steun SGP-leider voor verklaring tegen homoseksualiteit Het document circuleerde in Nederland lang in betrekkelijke stilte in orthodox-protestantse kring, maar afgelopen weekeinde leidde de zogenoemde Nashville-verklaring tot een storm van protest. Onder anderen parlementariër Kees van der Staaij, voorman van de streng-christelijke SGP, bleek zijn handtekening te hebben gezet onder het document van Amerikaanse origine, dat homo's en transgenders de kerk uit lijkt te jagen.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V4N-N1S1-DYRY-X1JJ-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,873
Ze zien ons niet als deel van de schepping',2019-01-08,International,de Volkskrant,News,563,Ten Eerste;Blz. 5,563,"Netherlands, Kingdom of the",PETER DE GRAAF,,,,Ze zien ons niet als deel van de schepping',"Ze zien ons niet als deel van de schepping' Jolanda Molenaar groeide op in een orthodox gezin, toen nog als man. Nu is ze vrouw en predikant in opleiding. 'Terug bij af.' 'Het is verschrikkelijk, we zijn echt weer terug bij af', zegt transvrouw Jolanda Molenaar (63), lekenpreker en predikant in opleiding bij de Doopsgezinde Kerk in Steenwijk , over de Nashville-verklaring. 'Het is een keiharde, typisch Amerikaanse verklaring die eigenlijk helemaal niet past in de Nederlandse situatie, waarin we toch vooral naar elkaar willen luisteren en elkaar de ruimte willen geven.'",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V4W-M4R1-JC8X-64H0-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,874
Ook Nederlandse Nashville-verklaring voor jongeren,2019-02-18,International,AD/Algemeen Dagblad,News,290,Nieuwsdienst;Blz. 6,290,"Netherlands, Kingdom of the",NIELS KLAASSEN,,,,Ook Nederlandse Nashville-verklaring voor jongeren,"Ook Nederlandse Nashville-verklaring voor jongeren De omstreden orthodox-christelijke Nashville-verklaring krijgt een vereenvoudigde Nederlandse versie. De tekst werd vorige maand teruggetrokken na kritiek van politici, geloofsgenoten en lhbt'ers. Binnenkort komt de nieuwe, toegankelijke versie van de Nashville-verklaring, daarna volgen nog andere varianten. ,,Bijvoorbeeld een vereenvoudigde versie voor de jeugd'', vertelt dominee Rinie van Reenen, woordvoerder van de werkgroep. ,,Binnen de groep ondertekenaars is grote eenstemmigheid, het is de vraag of de vertaling eenduidig genoeg is en duidelijk voor hen die weinig van de Bijbel weten.'' Volgens Van Reenen blijft de verklaring inhoudelijk overeind, maar is betere toelichting nodig. ,,De vorige keer werd de tekst opgevat op een wijze die nadrukkelijk niet onze bedoeling was, dus we gaan er zorgvuldig mee om.'' Wanneer de nieuwe versies klaar zijn, is onbekend.",AD/Algemeen Dagblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VFM-H881-JC8X-62SX-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,418
"Reality Hij is een zij: hoe is het nu? NPO 3, 20.25-21.05u.",2019-02-26,International,NRC Handelsblad,News,85,DE GIDS;Blz. 10,85,"Netherlands, Kingdom of the",,,,,"Reality Hij is een zij: hoe is het nu? NPO 3, 20.25-21.05u.","Reality Hij is een zij: hoe is het nu? NPO 3, 20.25-21.05u. Presentator Jan Kooijman bezoekt deelnemers van afgelopen seizoenen Hij is een zij . Hoe gaat het nu met de transgenderjongeren? Is een transitie ooit klaar? Ryan (25) wilde heel graag een penis.   Drie jaar na de geslachtsveranderende operatie moet hij  door een complicatie toch weer onder het mes. Storm (11) is ondertussen gelukkig als meisje. Ze begint al aardig te puberen. Daarom wil ze zo snel mogelijk beginnen met pubertijdsremmers om jongensachtige kenmerken aan haar lichaam te voorkomen. Link naar PDF",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VHD-4Y31-DYMH-R0V5-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2817
