Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Source,YearMonth,Week
"Transgender sekswerker Briza lag dood in hotelkamer na ruzie met vriend: ‘Ze was gek, maar lief’",2022-01-09,International,Algemeen Dagblad,News,586,,586,"Netherlands, Kingdom of the",Michiel van Gruijthuijsen,,,,"Transgender sekswerker Briza lag dood in hotelkamer na ruzie met vriend: ‘Ze was gek, maar lief’","Transgender sekswerker Briza lag dood in hotelkamer na ruzie met vriend: ‘Ze was gek, maar lief’ De vrouw die is omgebracht in een kamer van het Van der Valk Hotel in Wassenaar , is de Colombiaanse transgender sekswerker Briza (40). ,,Zij was echt een gek, maar lief persoon.” Volgens bekenden zit haar 32-jarige vriend uit Den Haag vast voor de vermoedelijke betrokkenheid bij haar dood. Hij is afgelopen maandagavond rond elf uur op het terrein van luchthaven Schiphol opgepakt.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,1
"Lucas, Missac en Joy coachen leeftijdsgenoten: ‘Ik wil anderen behoeden voor fouten die ik heb gemaakt’",2022-01-09,International,Algemeen Dagblad,News,573,,573,"Netherlands, Kingdom of the",Tesla van den Berg,,,,"Lucas, Missac en Joy coachen leeftijdsgenoten: ‘Ik wil anderen behoeden voor fouten die ik heb gemaakt’","Lucas, Missac en Joy coachen leeftijdsgenoten: ‘Ik wil anderen behoeden voor fouten die ik heb gemaakt’ Een veilige plek bieden aan jongeren die worstelen met eenzaamheid of faalangst. Dat is wat Bibliotheek AanZet in Dordrecht met het project Talent Valley doet. De jeugd wordt gecoacht door andere jongeren tussen de 15 en 27 jaar die daarbij uit hun eigen, soms nare, ervaringen putten.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,1
Gemist? Doodsbange man schreeuwt huilend vanuit brandend huis om hulp en boosterprik op hoogtepunt,2022-01-09,International,Algemeen Dagblad,News,545,,545,"Netherlands, Kingdom of the",Redactie Den Haag,,,,Gemist? Doodsbange man schreeuwt huilend vanuit brandend huis om hulp en boosterprik op hoogtepunt,"Gemist? Doodsbange man schreeuwt huilend vanuit brandend huis om hulp en boosterprik op hoogtepunt Ben je er niet aan toegekomen om al het nieuws uit Den Haag en omstreken vandaag te volgen? Geen zorgen! Dit is het belangrijkste nieuws van zondag 9 januari. Buurman van Mystica schreeuwde huilend vanuit brandend huis Bij een brand op de vierde verdieping van een appartementencomplex aan de Haagse Veenkade is vannacht één persoon zwaargewond geraakt. Het beeld van hoe de man stond te schreeuwen uit zijn raam krijgt buurvrouw Mystica niet van haar netvlies. ,,Ik heb nog nooit zoveel doodsangst gezien.” Booster op hoogtepunt GGD Haaglanden besluit komende week wanneer de speciale XXL-vaccinatielocaties voor de boosterprik in Den Haag en omgeving kunnen worden gesloten. Het aantal mensen dat de oppepprik krijgt is nu op het hoogtepunt. Na sluiting van de extra grote boosterlocaties worden de tijdelijke, kleine priklocaties uitgebreid.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,1
"Hotelmoord, mishandeling en verkeerde diagnose: dit zijn de best gelezen verhalen van afgelopen week",2022-01-10,International,Algemeen Dagblad,News,719,,719,"Netherlands, Kingdom of the",Redactie Den Haag,,,,"Hotelmoord, mishandeling en verkeerde diagnose: dit zijn de best gelezen verhalen van afgelopen week","Hotelmoord, mishandeling en verkeerde diagnose: dit zijn de best gelezen verhalen van afgelopen week Briza (40) werd dood aangetroffen in Wassenaarse hotelkamer, zwangere Alicia (28) werd in haar buik getrapt bij een verkeersruzie en Francis (33) werd vijf keer weggestuurd met migraine, maar het bleek een hersentumor te zijn. Hieronder een overzicht van onze meest gelezen verhalen van afgelopen week.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,2
Stellata legt de voortgang van haar transitie een jaar lang vast: 'Zo zie je echt de verschillen’,2022-01-12,International,Algemeen Dagblad,News,655,,655,"Netherlands, Kingdom of the",Susanne de Bruin,,,,Stellata legt de voortgang van haar transitie een jaar lang vast: 'Zo zie je echt de verschillen’,"Stellata legt de voortgang van haar transitie een jaar lang vast: 'Zo zie je echt de verschillen’ Transgender vrouw Stellata Koppe (47) uit Hoek van Holland maakt al 51 dagen dagelijks twee foto’s van zichzelf: een portret met ontbloot bovenlijf en een selfie in steeds een ander jurkje. Op die manier wil Stellata haar transitie één jaar lang vastleggen. Haar foto’s en ervaringen bundelt ze in een boek, waarvoor ze een crowdfunding is gestart. De helft van haar slaapkamer heeft Stellata ingericht als fotostudio. Met professionele belichting en een wit scherm maakt ze elke ochtend in precies dezelfde setting haar foto’s. De eerste foto nam ze toen ze met haar hormoonbehandeling begon, op 18 november 2021. ,,Het is de bedoeling om tot 18 november 2022 elke dag foto’s te maken. De veranderingen in de transitie zijn heel geleidelijk, door het vast te leggen ga je de verschillen zien”, stelt ze. Vanuit die insteek werkt ze aan een flipbook, waarin ze de portretfoto’s aan de zijkant van elke bladzijde plaatst. ,,Als je de pagina’s snel door je vingers laat glijden, lijkt het net een filmpje”, demonstreert ze met een drukproef van haar eerste periode.Mijn relatie was net stukgelopen en ik kreeg ontzettend de behoefte een jurk te dragen Geen rokje naar school Stellata is sinds 2005 kunstenaar en werkte onder andere mee aan de reuzenkreeft van afval op het strand van Hoek van Holland .",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,2
"Hoewel iedereen uit zijn buurt bleef, koos Briza juist voor hem: explosieve relatie werd haar fataal",2022-01-15,International,Algemeen Dagblad,News,1009,,1009,"Netherlands, Kingdom of the",Michiel van Gruijthuijsen,,,,"Hoewel iedereen uit zijn buurt bleef, koos Briza juist voor hem: explosieve relatie werd haar fataal","Hoewel iedereen uit zijn buurt bleef, koos Briza juist voor hem: explosieve relatie werd haar fataal Ze ontvluchtte de Colombiaanse drugshoofdstad Medellín om in Den Haag zichzelf te kunnen zijn. Maar transgender-sekswerker Mónica ‘Briza’ Garces Florez (40) kwam toch door geweld om het leven. In een Van der Valk Hotel op de grens met Wassenaar werd ze vermoord door de man van wie ze soms hield en die ze soms haatte. Hun relatie was explosief, dat wisten de vrienden van Mónica ‘Briza’ Garces Florez ook wel. Maar dat hij haar zou vermoorden had niemand verwacht. Haar 32-jarige vriend uit Den Haag zit vast als verdachte van haar dood. Op Schiphol werd hij aangehouden.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,2
Groot verdriet om vermoorde transgender sekswerker Briza (40): ‘Wij willen gerechtigheid’,2022-01-20,International,Algemeen Dagblad,News,319,,319,"Netherlands, Kingdom of the",Michiel van Gruijthuijsen,,,,Groot verdriet om vermoorde transgender sekswerker Briza (40): ‘Wij willen gerechtigheid’,"Groot verdriet om vermoorde transgender sekswerker Briza (40): ‘Wij willen gerechtigheid’ Vrienden, kennissen en collega’s herdachten vanmiddag de vermoorde transgender sekswerker Briza Garces Florez (40) in een tocht door het Haagse centrum. Briza overleed in een Wassenaars hotel, haar vriend zit nu vast als verdachte. ,,We willen gerechtigheid voor haar. Onze gemeenschap moet beter beschermd worden tegen geweld.’’ Waar moet je Briza anders herdenken dan op de plek die ze zo goed kende, prostitutiestraat de Geleenstraat in Den Haag? Het was één van de eerste plekken die ze, toen nog als Alejandro, zag toen ze in Nederland aankwam. Nu startte op die locatie een wake en stille tocht om haar leven te herdenken. Zo’n vijftig mensen verzamelden zich in de Geleenstraat om Briza te herdenken. Ook vroegen ze aandacht voor geweld tegen vrouwen, sekswerkers en transmensen. Allen droegen op de borst een rood lampje in de vorm van een hart. In een stoet liepen ze naar het internationaal homo-monument op de Laan van Reagan en Gorbatsjov. ‘Gerechtigheid voor Briza!’ werd er gescandeerd. Tekst gaat verder onder de afbeelding. De geboren Colombiaanse overleed begin dit jaar in het Van der Valk Hotel in Wassenaar .",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,3
Gemist? Familie vermiste Fabiënne (22) krijgt vreemd bericht en groot verdriet om vermoorde Briza,2022-01-20,International,Algemeen Dagblad,News,890,,890,"Netherlands, Kingdom of the",Redactie Den Haag,,,,Gemist? Familie vermiste Fabiënne (22) krijgt vreemd bericht en groot verdriet om vermoorde Briza,"Gemist? Familie vermiste Fabiënne (22) krijgt vreemd bericht en groot verdriet om vermoorde Briza Ben je er niet aan toegekomen om al het nieuws uit Den Haag en omstreken vandaag te volgen? Geen zorgen! Dit is het belangrijkste nieuws van donderdag 20 januari. Familie vermiste Fabiënne (22) krijgt vreemd bericht De zorgen nemen met de dag toe. Fabiënne Geers wordt al anderhalve week vermist en er komen steeds meer vragen naar boven rondom haar verdwijning. Zo ontving familie een bericht van haar, maar was dat wel Fabiënne?",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,3
"Als je niet weet is wat woke is, houden zo. Het leven wordt er alleen maar ingewikkeld van",2022-01-29,International,Algemeen Dagblad,News,328,,328,"Netherlands, Kingdom of the",Carrie Jansen,,,,"Als je niet weet is wat woke is, houden zo. Het leven wordt er alleen maar ingewikkeld van","Als je niet weet is wat woke is, houden zo. Het leven wordt er alleen maar ingewikkeld van Ik ben lang niet woke genoeg. En als je niet weet wat woke is, houden zo, want het leven wordt er alleen maar ingewikkeld van. Je moet allerlei vinkjes kunnen zetten. Overal achter. Zo gaat woke erover dat je geen racist mag zijn, check. Dat je feminist moet zijn, check. Dat je erkent dat het klimaat een dingetje is, check.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,4
Nout (19) liet zijn borsten verwijderen: ‘Ik werd voor het eerst door een vreemde ‘hij’ genoemd’,2022-01-30,International,Algemeen Dagblad,News,1024,,1024,"Netherlands, Kingdom of the",Elisabeth van der Ploeg,,,,Nout (19) liet zijn borsten verwijderen: ‘Ik werd voor het eerst door een vreemde ‘hij’ genoemd’,"Nout (19) liet zijn borsten verwijderen: ‘Ik werd voor het eerst door een vreemde ‘hij’ genoemd’ Nout is een transgender persoon. Drie weken geleden zijn de borsten van Nout verwijderd. Een groot moment in de overgang van vrouw naar man. Nout is geboren in een meisjeslichaam en zit midden in zijn transitie. ,,Ik werd voor het eerst door een vreemde ‘hij’ genoemd. Dat voelt euforisch. Ik had zelfs een mondkapje op.” ,,Niet naar mijn tepels kijken hoor. Die zijn nog ‘crispy’”, zegt Nout lachend, voor hij zijn binder opent. Voorzichtig haalt hij het strakke vestje dat zwellingen tegengaat van zijn borst af. ,,Ik heb vandaag mijn eerste check gehad. Er zit nog vocht in mijn rechterborst. Ik voel daar extra druk op, maar alles is goed.” Vroeger kon ik niet naar mijn borsten kijken. Dit is de eerste keer dat ik zo lang naar mijn bovenlijf heb gekeken Het is muisstil in zijn opgeruimde slaapkamer in Lunteren . Knoopje voor knoopje gaat de binder los. De blauwe lijn van de tekeningen van de chirurg is nog zichtbaar op zijn borst.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,4
